표제어,발음
선진국,선진국
설명서,설명서
성적표,성적표
세탁물,세ː탕물
소극장,소ː극짱
소극적,소극쩍
소금물,소금물
소나기,소나기
소독약,소동냑
소방관,소방관
소방서,소방서
소방차,소방차
소비자,소비자
소설가,소ː설가
소설책,소ː설책
소아과,소ː아꽈
속눈썹,송ː눈썹
속마음,송ː마음
손가방,손까방
손잡이,손자비
송별회,송ː별회/송ː별훼
송아지,송아지
쇠고기,쇠ː고기/쉐ː고기
수도권,수도꿘
수돗물,수돈물
수동적,수동적
수리비,수리비
수면제,수면제
수수료,수수료
수입품,수입품
숙박비,숙빡삐
순간적,순간적
순식간,순식깐
술자리,술짜리
숨소리,숨ː쏘리
승무원,승무원
승용차,승용차
승차권,승차꿘
시금치,시금치
시부모,시부모
시청률,시ː청뉼
시청자,시ː청자
시험지,시험지
식당가,식땅가
식료품,싱뇨품
식사량,식싸량
식용유,시굥뉴
식중독,식쭝독
식품점,식품점
신문사,신문사
신문지,신문지
신상품,신상품
신세대,신세대
신입생,시닙쌩
신제품,신제품
신청서,신청서
신체적,신체적
심리적,심니적
심부름,심ː부름
싸구려,싸구려
아드님,아드님
아래층,아래층/아랟층
아랫집,아래찝/아랟찝
아쉬움,아쉬움
아침밥,아침빱
안내서,안ː내서
안내소,안ː내소
안내원,안ː내원
안내판,안ː내판
안전띠,안전띠
앞머리,암머리
앞바다,압빠다
약혼녀,야콘녀
약혼자,야콘자
양배추,양배추
어려움,어려움
어르신,어ː르신
어린애,어리내
엉터리,엉터리
여드름,여드름
여름철,여름철
여행가,여행가
연구소,연ː구소
연구실,연ː구실
연구자,연ː구자
연기자,연ː기자
연두색,연ː두색
연주회,연ː주회/연ː주훼
연체료,연체료
영양제,영양제
예술가,예ː술가
예식장,예식짱
오락실,오ː락씰
오른발,오른발
오른편,오른편
오징어,오징어
옥수수,옥쑤수
옷차림,옫차림
외갓집,외ː가찝/웨ː갇찝
외교관,외ː교관/웨ː교관
외로움,외로움/웨로움
외삼촌,외ː삼촌/웨ː삼촌
외숙모,외ː숭모/웨ː숭모
외아들,외아들/웨아들
외출복,외ː출복/웨ː출복
요리법,요리뻡
우체통,우체통
우편물,우편물
우편함,우편함
우회전,우ː회전/우ː훼전
운동량,운ː동냥
웃어른,우더른
윗사람,위싸람/윋싸람
유람선,유람선
유리창,유리창
유적지,유적찌
육체적,육체적
음식물,음ː싱물
음악회,으마쾨/으마퀘
응급실,응ː급씰
이국적,이ː국쩍
이기적,이ː기적
이력서,이ː력써
이름표,이름표
이용자,이ː용자
이웃집,이욷찝
인간성,인간썽
인간적,인간적
인삼차,인삼차
일교차,일교차
일본어,일보너
일시불,일씨불
일자리,일ː짜리
일정표,일쩡표
일회용,일회용/일훼용
입장료,입짱뇨
입학식,이팍씩
자가용,자가용
자격증,자격쯩
자부심,자부심
자신감,자신감
자존심,자존심
자주색,자ː주색
작곡가,작꼭까
작은집,자근집
잔디밭,잔디받
잔소리,잔소리
장단점,장단쩜
장례식,장ː녜식
장마철,장마철
장학금,장ː학끔
재학생,재ː학쌩
재활용,재ː화룡
적극적,적끅쩍
전국적,전국쩍
전문가,전문가
전문점,전문점
전문직,전문직
전시장,전ː시장
전시회,전ː시회/전ː시훼
전통적,전통적
젊은이,절므니
정수기,정수기
정육점,정육쩜
정치인,정치인
제과점,제ː과점
조미료,조미료
졸업생,조럽쌩
졸업식,조럽씩
종아리,종ː아리
좌회전,좌ː회전/좌ː훼전
주유소,주ː유소
주인공,주인공
주전자,주전자
주차권,주ː차꿘
주차료,주ː차료
준비물,준ː비물
줄거리,줄거리
줄넘기,줄럼끼
줄무늬,줄무니
중고차,중고차
중국어,중구거
중심지,중심지
중형차,중형차
즐거움,즐거움
증명서,증명서
지름길,지름낄
지하실,지하실
직장인,직짱인
진단서,진ː단서
진통제,진ː통제
진행자,진ː행자
차림표,차림표
참기름,참기름
참석자,참석짜
책가방,책까방
책임감,채김감
책임자,채김자
처방전,처ː방전
천주교,천주교
첫인상,처딘상
청소기,청소기
초가을,초가을
초겨울,초겨울
초보자,초보자
초승달,초승딸
초여름,초여름
초저녁,초저녁
초청장,초청짱
최고급,최ː고급/췌ː고급
추천서,추천서
축구장,축꾸장
출근길,출근낄
충격적,충격쩍
치료법,치료뻡
친아들,치나들
친언니,치넌니
친오빠,치노빠
콧노래,콘노래
콩나물,콩나물
큰아들,크나들
탑승객,탑씅객
파출소,파출쏘
팔꿈치,팔꿈치
포도주,포도주
포장지,포장지
표준어,표주너
표지판,표지판
피해자,피ː해자
학부모,학뿌모
학용품,하굥품
한겨울,한겨울
한국말,한ː궁말
한국어,한ː구거
한국인,한ː구긴
한국적,한ː국쩍
한여름,한녀름
할인점,하린점
합격자,합껵짜
항공료,항ː공뇨
해돋이,해도지
해산물,해ː산물
허리띠,허리띠
허벅지,허벅찌
현실적,현ː실쩍
호기심,호ː기심
화장대,화장대
환승역,환ː승녁
환영회,화녕회/화녕훼
활동적,활똥적
회의실,회ː의실/훼ː이실
휴가철,휴가철
휴양지,휴양지
가로수,가로수
가르침,가르침
가속화,가소콰
가식적,가ː식쩍
가야금,가야금
가요계,가요계/가요게
가창력,가창녁
가해자,가해자
간담회,간ː담회/간ː담훼
감상적,감ː상적
감성적,감ː성적
감수성,감ː수썽
감정적,감ː정적
감탄사,감ː탄사
값어치,가버치
강대국,강대국
강우량,강ː우량
개막식,개막씩
개방적,개방적
개별적,개ː별쩍
개신교,개ː신교
거리낌,거리낌
거문고,거문고
거부감,거ː부감
거주자,거주자
건망증,건ː망쯩
건설업,건ː서럽
건축가,건ː축까
건축물,건ː충물
겉보기,걷뽀기
결단력,결딴녁
결승선,결씅선
결승전,결씅전
경각심,경ː각씸
경고문,경ː고문
경공업,경공업
경영진,경영진
경영학,경영학
경쟁률,경ː쟁뉼
경제권,경제꿘
경제성,경제썽
경제학,경제학
경조사,경ː조사
경찰청,경ː찰청
경험담,경험담
고가품,고까품
고교생,고교생
고구려,고구려
고기압,고기압
고령화,고령화
고무신,고무신
고소득,고소득
고아원,고아원
고지서,고ː지서
고학력,고항녁
고혈압,고혀랍
골동품,골똥품
골짜기,골짜기
곰팡이,곰ː팡이
공간적,공간적
공감대,공ː감대
공개적,공개적
공교육,공교육
공권력,공꿘녁
공사장,공사장
공산품,공산품
공식적,공식쩍
공용어,공용어
공정성,공정썽
공포감,공ː포감
과반수,과ː반수
관공서,관공서
관련자,괄련자
관용어,과뇽어
관용적,과뇽적
관형사,관형사
교도소,교ː도소
교무실,교ː무실
교육부,교ː육뿌
교육열,교ː융녈
교육적,교ː육쩍
구경꾼,구ː경꾼
구급차,구ː급차
구두쇠,구두쇠/구두쉐
구매자,구매자
구성원,구성원
구인난,구인난
구직난,구징난
구직자,구직짜
국가적,국까적
국내외,궁내외/궁내웨
국민적,궁민적
국방부,국빵부
국세청,국쎄청
국제적,국쩨적
굶주림,굼ː주림
궁금증,궁금쯩
권위적,궈뉘적
귀납적,귀ː납쩍
귓속말,귀쏭말/귇쏭말
극단적,극딴적
극대화,극때화
극소수,극쏘수
근시안,근ː시안
글쓴이,글쓰니
금융업,금늉업/그뮹업
급상승,급쌍승
급속도,급쏙도
기관지,기관지
기념회,기념회/기념훼
기능적,기능적
기대감,기대감
기름기,기름끼
기부금,기부금
기상청,기상청
기술적,기술쩍
기업체,기업체
기와집,기와집
기원전,기원전
기원후,기원후
기저귀,기저귀
기행문,기행문
기호품,기호품
긴장감,긴장감
깨소금,깨소금
껍데기,껍떼기
나그네,나그네
나들이,나드리
나침반,나침반
낙관적,낙꽌적
낙천적,낙천적
낚시터,낙씨터
난치병,난치뼝
낭만적,낭ː만적
널뛰기,널ː뛰기
노골적,노골쩍
노동력,노동녁
노른자,노른자
노숙자,노숙짜
노여움,노ː여움
노처녀,노ː처녀
노총각,노ː총각
노폐물,노ː폐물/노ː페물
논설문,논설문
농어촌,농어촌
높임법,노핌뻡
뇌졸중,뇌졸쭝
눈꺼풀,눈꺼풀
눈사태,눈ː사태
능동적,능동적
다국적,다국쩍
다양성,다양썽
다양화,다양화
단말기,단말기
단백질,단ː백찔
당뇨병,당뇨뼝
당사자,당사자
대가족,대ː가족
대리점,대ː리점
대머리,대ː머리
대명사,대ː명사
대보름,대ː보름
대조적,대ː조적
대중성,대ː중썽
대중적,대ː중적
대중화,대ː중화
대학가,대ː학까
도깨비,도깨비
도덕성,도ː덕썽
도덕적,도ː덕쩍
도시화,도시화
도우미,도우미
독선적,독썬적
독재자,독째자
독창성,독창썽
독창적,독창적
동남아,동나마
동질성,동질썽
동호인,동호인
된소리,된ː소리/뒌ː소리
뒤풀이,뒤ː푸리
등용문,등용문
따돌림,따돌림
마누라,마누라
만족도,만족또
말솜씨,말ː쏨씨
맞장구,맏짱구
매력적,매력쩍
머리맡,머리맏
먹구름,먹꾸름
면도기,면ː도기
면세점,면ː세점
명승지,명승지
모국어,모ː구거
모닥불,모닥뿔
모범생,모범생
목격자,목껵짜
목적어,목쩌거
무공해,무공해
무기력,무기력
무응답,무응답
무인도,무인도
문학적,문학쩍
물리적,물리적
미생물,미생물
미술가,미ː술가
미혼모,미ː혼모
민주적,민주적
민주화,민주화
바깥일,바깐닐
박람회,방남회/방남훼
반도체,반ː도체
반세기,반ː세기
반신욕,반ː신뇩
반환점,반환쩜
발돋움,발도둠
발명가,발명가
발명품,발명품
발신자,발씬자
발전소,발쩐소
발표자,발표자
밥벌이,밥뻐리
방사능,방ː사능
방송인,방ː송인
방청객,방청객
배타적,배타적
백혈병,배켤뼝
범죄자,범ː죄자/범ː줴자
법률가,범뉼가
법무부,범무부
변두리,변두리
보건소,보ː건소
보상금,보ː상금
보수적,보ː수적
보육원,보ː유권
보조금,보ː조금
보증금,보증금
보편적,보ː편적
보편화,보ː편화
보험료,보ː험뇨
보호자,보ː호자
본질적,본질쩍
봉사자,봉ː사자
봉우리,봉우리
부담감,부ː담감
부도덕,부도덕
부유층,부ː유층
불경기,불경기
불량품,불량품
불면증,불면쯩
불성실,불썽실
불안감,부란감
불안정,부란정
불치병,불치뼝
불효자,불효자
붉은색,불근색
비관적,비ː관적
비상금,비ː상금
비속어,비ː소거
비약적,비약쩍
비웃음,비ː우슴
비유적,비ː유적
빗줄기,비쭐기/빋쭐기
뺑소니,뺑소니
사고력,사고력
사교육,사교육
사무적,사ː무적 
사법부,사법뿌
사상가,사ː상가
사업주,사ː업쭈
사업체,사ː업체
사은품,사ː은품
산사태,산사태
산성비,산성비
산업화,사ː너퐈
삼림욕,삼님뇩
상갓집,상가찝/상갇찝
상거래,상거래
상견례,상견녜
상류층,상ː뉴층
상반신,상ː반신
상승세,상ː승세 
상업적,상업쩍
상여금,상여금
상위권,상ː위꿘
상차림,상차림
상품권,상품꿘
생동감,생동감
생명력,생명녁
생명체,생명체
생산량,생산냥
생산성,생산썽
생산자,생산자
생산적,생산적
생산지,생산지
생태계,생태계/생태게
생필품,생필품
생활고,생활고
생활권,생활꿘
생활화,생활화
서민적,서ː민적
서술어,서ː수러
서양식,서양식
선교사,선교사
선동적,선동적
선입견,서닙껸
선정적,선정적
선착순,선착쑨
선호도,선ː호도
선후배,선후배
설득력,설뜽녁
설명문,설명문
섬유질,서뮤질
성수기,성ː수기
성실성,성실썽
성인병,성인뼝
성장기,성장기
성적순,성적쑨
성직자,성ː직짜
성차별,성ː차별
성취도,성취도
세계관,세ː계관/세ː게관
소개서,소개서
소비량,소비량
소외감,소외감/소웨감
소유자,소ː유자
소화기,소화기
수사관,수사관
수산물,수산물
수산업,수사넙
수신자,수신자
수익금,수익끔
수재민,수재민
수줍음,수주븜
수증기,수증기
수평선,수평선
수험생,수험생
수화기,수화기
순수성,순수썽
승강기,승강기
시냇물,시ː낸물
시대적,시대적
시사회,시ː사회/시ː사훼
시상식,시ː상식
시청각,시ː청각
식량난,싱냥난
식민지,싱민지
식생활,식쌩활
식습관,식씁꽌
식은땀,시근땀
신경질,신경질
신경통,신경통
신기록,신기록
신도시,신도시
신바람,신빠람
신축성,신축썽
실시간,실씨간
실업계,시럽꼐/시럽께
실업률,시럼뉼
실업자,시럽짜
실용성,시룡썽
실용화,시룡화
실질적,실찔쩍
실천적,실천적
십자가,십짜가
쌍꺼풀,쌍꺼풀
씀씀이,씀쓰미
아열대,아ː열때
악순환,악쑨환
악영향,아경향
안락사,알락싸
안정감,안정감
안정적,안정적
암기력,암ː기력
암흑기,암ː흑끼
압박감,압빡깜
애완견,애ː완견
애창곡,애ː창곡
야유회,야ː유회/야ː유훼
양로원,양ː노원
어금니,어금니
언론사,얼론사
언론인,얼로닌
여성적,여성적
연령층,열령층
연장자,연장자
연주자,연ː주자
연평균,연평균
열대야,열때야
열등감,열뜽감
열람실,열람실
열성적,열썽적
영세민,영세민
영양가,영양까
영양사,영양사
영양소,영양소
영화제,영화제
옆구리,엽꾸리
예술성,예ː술썽
예술품,예ː술품
예체능,예ː체능
오누이,오누이
오름세,오름세
온난화,온난화
옷자락,옫짜락
외동딸,외동딸/웨동딸
외래어,외ː래어/웨ː래어
외식비,외ː식삐/웨ː식삐
외향적,외ː향적/웨ː향적
외형적,외ː형적/웨ː형적
요양원,요양원
용의자,용의자/용이자
우발적,우ː발쩍
우울증,우울쯩
우호적,우ː호적
운수업,운ː수업
울타리,울타리
원산지,원산지
원심력,원ː심녁
원어민,워너민
원자력,원자력
원주민,원주민
위생적,위생적
위화감,위화감
유권자,유ː꿘자
유기농,유ː기농
유대감,유대감
유동적,유동적
유연성,유연썽
유전병,유전뼝
유전자,유전자
유창성,유창썽
유행가,유행가
유흥비,유흥비
윤리적,율리적
응답자,응ː답짜
의생활,의생활
의성어,의성어
의식주,의식쭈 
의약품,의약품
의태어,의태어
의학적,의학쩍
이기심,이ː기심
이론적,이ː론적
이상형,이ː상형
이색적,이ː색쩍
이성적,이ː성적
이주민,이주민
이직률,이징뉼
인간미,인간미
인건비,인껀비
인내심,인내심
인도적,인도적
인문계,인문계/인문게
인문학,인문학
인생관,인생관
인지도,인지도
일간지,일간지
일관성,일관썽
일광욕,일광뇩
일대일,일때일
임대료,임ː대료
임산부,임ː산부
임신부,임ː신부
자극적,자ː극쩍
자연계,자연계/자연게
자영업,자영업
자외선,자ː외선/자ː웨선
작성자,작썽자
잠재력,잠재력
장거리,장거리
장래성,장내썽
장신구,장신구
장학생,장ː학쌩
재개발,재ː개발
재정적,재정적
재충전,재ː충전
저고리,저고리
저기압,저ː기압
저소득,저ː소득
저작권,저ː작꿘
저출산,저ː출싼
저학력,저ː항녁
저혈압,저ː혀랍
적령기,정녕기
적응력,저긍녁
전략적,절ː략쩍
전망대,전ː망대
전문성,전문썽
전반부,전반부
전셋값,전세깝/전섿깝
전시관,전ː시관
전염병,저념뼝
전쟁터,전ː쟁터
전환기,전ː환기
점유율,저뮤율
정규직,정ː규직
정상화,정ː상화
정신과,정신꽈
정열적,정녈쩍
정책적,정책쩍
정체기,정체기
정체성,정ː체썽
정치가,정치가
정확성,정ː확썽
제도적,제ː도적
제작자,제ː작짜
제조업,제ː조업
조리법,조리뻡
조리사,조리사
조문객,조ː문객
조부모,조부모
조선업,조ː서넙
조의금,조ː의금/조ː이금
조종사,조종사
조직적,조직쩍
조형미,조ː형미
존댓말,존댄말
종사자,종사자
좌담회,좌ː담회/좌ː담훼
죄책감,죄ː책깜/줴ː책깜
주거비,주ː거비
주거지,주ː거지
주름살,주름쌀
주방장,주방장
주생활,주ː생활
주재료,주재료
주택가,주ː택까
중개인,중개인
중공업,중ː공업
중산층,중산층
중요시,중ː요시
중점적,중ː쩜적
증가세,증가세
증후군,증후군
지구력,지구력
지구촌,지구촌
지리적,지리적
지원금,지원금
지원서,지원서
지원자,지원자
지지율,지지율
직거래,직꺼래 
진보적,진ː보적
진취적,진ː취적
집단적,집딴적
집사람,집싸람
집중력,집쭝녁
짜임새,짜임새
짝사랑,짝싸랑
찜질방,찜질방
차별화,차별화
찬송가,찬ː송가
참가자,참가자
참을성,차믈썽
창의력,창ː의력/창ː이력
창의성,창ː의썽/창ː이썽
창의적,창ː의적/창ː이적
창작품,창ː작품
창조적,창ː조적
천부적,천부적
철학적,철학쩍
첫인사,처딘사
청취자,청취자
초가집,초가집
초고속,초고속
초월적,초월쩍
초인종,초인종
초창기,초창기
최고령,최ː고령/췌ː고령
최신형,최ː신형/췌ː신형
최연소,최ː연소/췌ː연소
최우수,최ː우수/췌ː우수
최첨단,최ː첨단/췌ː첨단
축산물,축싼물
축산업,축싸넙
출산율,출싼뉼
출입구,추립꾸
출판사,출판사
취업률,취ː엄뉼
친근감,친근감
친밀감,친밀감
친화력,친화력
친환경,친환경
타당성,타ː당썽
탈의실,타릐실/타리실
태양열,태양녈
통신비,통신비
통조림,통조림
퇴직금,퇴ː직끔/퉤ː직끔
투자자,투자자
특산물,특싼물
파격적,파ː격쩍
판매량,판매량
판매원,판매원
판소리,판쏘리
편두통,편두통
편파적,편파적
평화적,평화적
폐기물,폐ː기물/페ː기물
폐막식,폐ː막씩/페ː막씩
폐활량,폐ː활량/페ː활량
폭력적,퐁녁쩍
표기법,표기뻡
푸대접,푸대접
푸른색,푸른색
피고인,피ː고인
피로연,피로연
피부과,피부꽈
하락세,하ː락쎄
하반기,하ː반기
하반신,하ː반신
하소연,하소연
학문적,항문적
한반도,한ː반도
한의원,하ː늬원/하ː니원
한자어,한ː짜어
함박눈,함방눈
합법적,합뻡쩍
항생제,항ː생제
항아리,항아리
해수욕,해ː수욕
해열제,해ː열쩨
해학적,해학쩍
핵가족,핵까족
햇곡식,핻꼭씩
행정부,행정부
헌신적,헌ː신적
혁신적,혁씬적
현기증,현ː기쯩
혈액형,혀래켱
형용사,형용사
호흡기,호흡끼
혼잣말,혼잔말
환절기,환ː절기
활성화,활썽화
황금기,황금기
회갑연,회가변/훼가변
회복세,회복쎄/훼복쎄
회원국,회ː원국/훼ː원국
회의적,회의적/훼이적
후반부,후ː반부
후보자,후보자
후유증,후ː유쯩
